"GenBank.Accn","X.Replicon.Name","Start","Stop","Strand","GeneID","Locus.tag","Protein.product","Length","Protein.name","X..Sequence.Name","Sequence.Role","Assigned.Molecule","Assigned.Molecule.Location.Type","Relationship","RefSeq.Accn","Assembly.Unit","Sequence.Length","UCSC.style.name","SeqName","SeqName2a"
"GG663363.1","Un",46391,46909,"+","-","HCBG_00001","EEH10546.1",111,"predicted protein","supercont2.1","unplaced-scaffold","na","na","<>","na","Primary Assembly",3777229,"na","supercont2.1","Supercontig_2.1"
"GG663363.1","Un",151764,155597,"-","-","HCBG_00002","EEH10547.1",1229,"WW domain-containing protein","supercont2.1","unplaced-scaffold","na","na","<>","na","Primary Assembly",3777229,"na","supercont2.1","Supercontig_2.1"
"GG663363.1","Un",155730,156631,"+","-","HCBG_00003","EEH10548.1",174,"predicted protein","supercont2.1","unplaced-scaffold","na","na","<>","na","Primary Assembly",3777229,"na","supercont2.1","Supercontig_2.1"
"GG663363.1","Un",158248,161034,"-","-","HCBG_00004","EEH10549.1",693,"conserved hypothetical protein","supercont2.1","unplaced-scaffold","na","na","<>","na","Primary Assembly",3777229,"na","supercont2.1","Supercontig_2.1"
"GG663363.1","Un",162195,162689,"-","-","HCBG_00005","EEH10550.1",164,"predicted protein","supercont2.1","unplaced-scaffold","na","na","<>","na","Primary Assembly",3777229,"na","supercont2.1","Supercontig_2.1"
"GG663363.1","Un",163740,169542,"-","-","HCBG_00006","EEH10551.1",1874,"proteasome component ECM29","supercont2.1","unplaced-scaffold","na","na","<>","na","Primary Assembly",3777229,"na","supercont2.1","Supercontig_2.1"
"GG663363.1","Un",170805,175634,"-","-","HCBG_00007","EEH10552.1",1468,"ATP-dependent DNA helicase","supercont2.1","unplaced-scaffold","na","na","<>","na","Primary Assembly",3777229,"na","supercont2.1","Supercontig_2.1"
"GG663363.1","Un",176674,178310,"+","-","HCBG_00008","EEH10553.1",378,"serine kinase","supercont2.1","unplaced-scaffold","na","na","<>","na","Primary Assembly",3777229,"na","supercont2.1","Supercontig_2.1"
"GG663363.1","Un",178519,180189,"-","-","HCBG_00009","EEH10554.1",537,"carboxylesterase","supercont2.1","unplaced-scaffold","na","na","<>","na","Primary Assembly",3777229,"na","supercont2.1","Supercontig_2.1"
"GG663363.1","Un",181477,182356,"-","-","HCBG_00010","EEH10555.1",244,"orotidine-5\'-monophosphate pyrophosphorylase","supercont2.1","unplaced-scaffold","na","na","<>","na","Primary Assembly",3777229,"na","supercont2.1","Supercontig_2.1"
"GG663363.1","Un",183401,184481,"+","-","HCBG_00011","EEH10556.1",279,"conserved hypothetical protein","supercont2.1","unplaced-scaffold","na","na","<>","na","Primary Assembly",3777229,"na","supercont2.1","Supercontig_2.1"
"GG663363.1","Un",184642,189201,"-","-","HCBG_00012","EEH10557.1",1165,"serine/threonine-protein kinase ripk4","supercont2.1","unplaced-scaffold","na","na","<>","na","Primary Assembly",3777229,"na","supercont2.1","Supercontig_2.1"
"GG663363.1","Un",190117,191067,"+","-","HCBG_00013","EEH10558.1",187,"predicted protein","supercont2.1","unplaced-scaffold","na","na","<>","na","Primary Assembly",3777229,"na","supercont2.1","Supercontig_2.1"
"GG663363.1","Un",191437,192628,"+","-","HCBG_00014","EEH10559.1",268,"phosphomannomutase","supercont2.1","unplaced-scaffold","na","na","<>","na","Primary Assembly",3777229,"na","supercont2.1","Supercontig_2.1"
"GG663363.1","Un",193457,194561,"+","-","HCBG_00015","EEH10560.1",306,"DUF1640 domain-containing protein","supercont2.1","unplaced-scaffold","na","na","<>","na","Primary Assembly",3777229,"na","supercont2.1","Supercontig_2.1"
"GG663363.1","Un",194882,196012,"-","-","HCBG_00016","EEH10561.1",376,"AT hook domain-containing protein family protein","supercont2.1","unplaced-scaffold","na","na","<>","na","Primary Assembly",3777229,"na","supercont2.1","Supercontig_2.1"
"GG663363.1","Un",196740,197984,"+","-","HCBG_00017","EEH10562.1",404,"protein kinase","supercont2.1","unplaced-scaffold","na","na","<>","na","Primary Assembly",3777229,"na","supercont2.1","Supercontig_2.1"
"GG663363.1","Un",199543,201752,"+","-","HCBG_00018","EEH10563.1",670,"peptide-N4-(N-acetyl-beta-glucosaminyl)asparagine amidase A","supercont2.1","unplaced-scaffold","na","na","<>","na","Primary Assembly",3777229,"na","supercont2.1","Supercontig_2.1"
"GG663363.1","Un",202611,205470,"+","-","HCBG_00019","EEH10564.1",891,"fungal specific transcription factor domain-containing protein","supercont2.1","unplaced-scaffold","na","na","<>","na","Primary Assembly",3777229,"na","supercont2.1","Supercontig_2.1"
"GG663363.1","Un",206471,208534,"-","-","HCBG_00020","EEH10565.1",625,"major facilitator superfamily transporter","supercont2.1","unplaced-scaffold","na","na","<>","na","Primary Assembly",3777229,"na","supercont2.1","Supercontig_2.1"
"GG663363.1","Un",208816,209312,"-","-","HCBG_00021","EEH10566.1",129,"predicted protein","supercont2.1","unplaced-scaffold","na","na","<>","na","Primary Assembly",3777229,"na","supercont2.1","Supercontig_2.1"
"GG663363.1","Un",210048,210938,"-","-","HCBG_00022","EEH10567.1",225,"predicted protein","supercont2.1","unplaced-scaffold","na","na","<>","na","Primary Assembly",3777229,"na","supercont2.1","Supercontig_2.1"
"GG663363.1","Un",212065,212610,"+","-","HCBG_00023","EEH10568.1",181,"conserved hypothetical protein","supercont2.1","unplaced-scaffold","na","na","<>","na","Primary Assembly",3777229,"na","supercont2.1","Supercontig_2.1"
"GG663363.1","Un",213845,215349,"-","-","HCBG_00024","EEH10569.1",395,"DnaJ domain-containing protein","supercont2.1","unplaced-scaffold","na","na","<>","na","Primary Assembly",3777229,"na","supercont2.1","Supercontig_2.1"
"GG663363.1","Un",216742,217272,"+","-","HCBG_00025","EEH10570.1",176,"prenylated Rab acceptor 1","supercont2.1","unplaced-scaffold","na","na","<>","na","Primary Assembly",3777229,"na","supercont2.1","Supercontig_2.1"
"GG663363.1","Un",217401,218567,"+","-","HCBG_00026","EEH10571.1",388,"hypothetical protein HCBG_00026","supercont2.1","unplaced-scaffold","na","na","<>","na","Primary Assembly",3777229,"na","supercont2.1","Supercontig_2.1"
