seqnames	start	end	width	strand	Protein.product	Protein.name	GenBank.Accn	RefSeq.Accn	CLR	alpha	CLR_window_size	highest_CLR	species
Supercontig_3.1	9126	9480	355	-	XP_012046142.1	hypothetical protein CNAG_07304	CP003820.1	NC_026745.1	2.737248	0.0042138	2288	1.7761236	Neoformans
Supercontig_3.1	17116	19388	2273	-	XP_012046456.1	hypothetical protein CNAG_00004	CP003820.1	NC_026745.1	8.153959	0.0002569877	2287	1.7761236	Neoformans
Supercontig_3.1	20906	21692	787	-	XP_012046146.1	TPR repeat-containing protein	CP003820.1	NC_026745.1	13.43494	0.0003341337	2288	1.7761236	Neoformans
Supercontig_3.1	21692	22642	951	-	XP_012046146.1	TPR repeat-containing protein	CP003820.1	NC_026745.1	3.776656	0.0004887804	2288	1.7761236	Neoformans
Supercontig_3.1	37707	39419	1713	-	XP_012046149.1	cation transporter	CP003820.1	NC_026745.1	2.790182	0.008288392	2287	1.7761236	Neoformans
Supercontig_3.1	56011	57423	1413	-	XP_012046152.1	hypothetical protein CNAG_00017	CP003820.1	NC_026745.1	4.524828	0.05197869	2288	1.7761236	Neoformans
Supercontig_3.1	81301	82983	1683	-	XP_012046157.1	kynurenine aminotransferase	CP003820.1	NC_026745.1	2.092499	0.02826573	2287	1.7761236	Neoformans
Supercontig_3.1	81301	82983	1683	-	XP_012046472.1	kynurenine aminotransferase, variant	CP003820.1	NC_026745.1	2.092499	0.02826573	2287	1.7761236	Neoformans
Supercontig_3.1	88041	89843	1803	-	XP_012046473.1	high-affinity nicotinic acid transporter	CP003820.1	NC_026745.1	17.44885	0.002332301	2288	1.7761236	Neoformans
Supercontig_3.1	88041	89843	1803	-	XP_012046474.1	high-affinity nicotinic acid transporter, variant	CP003820.1	NC_026745.1	17.44885	0.002332301	2288	1.7761236	Neoformans
Supercontig_3.1	90490	91786	1297	+	XP_012046475.1	D-3-phosphoglycerate dehydrogenase	CP003820.1	NC_026745.1	5.855669	0.01429601	2288	1.7761236	Neoformans
Supercontig_3.1	92137	92617	481	+	XP_012046477.1	D-3-phosphoglycerate dehydrogenase, variant	CP003820.1	NC_026745.1	5.855669	0.01429601	2288	1.7761236	Neoformans
Supercontig_3.1	94905	96545	1641	-	XP_012046159.1	hypothetical protein CNAG_00031	CP003820.1	NC_026745.1	1.929126	0.02736888	2288	1.7761236	Neoformans
Supercontig_3.1	96969	97193	225	+	XP_012046479.1	2,4-dihydroxyhept-2-ene-1,7-dioic acid aldolase	CP003820.1	NC_026745.1	1.929126	0.02736888	2288	1.7761236	Neoformans
Supercontig_3.1	97193	97867	675	+	XP_012046479.1	2,4-dihydroxyhept-2-ene-1,7-dioic acid aldolase	CP003820.1	NC_026745.1	2.317257	0.1661766	2288	1.7761236	Neoformans
Supercontig_3.1	99045	99481	437	-	XP_012046480.1	hypothetical protein CNAG_00033	CP003820.1	NC_026745.1	2.317257	0.1661766	2288	1.7761236	Neoformans
Supercontig_3.1	101768	102263	496	+	XP_012046481.1	large subunit ribosomal protein L9e	CP003820.1	NC_026745.1	8.260001	0.001968122	2287	1.7761236	Neoformans
Supercontig_3.1	108971	110289	1319	-	XP_012046161.1	Sec14 cytosolic factor	CP003820.1	NC_026745.1	4.862767	0.03112326	2288	1.7761236	Neoformans
Supercontig_3.1	114073	115496	1424	-	XP_012046162.1	alcohol dehydrogenase	CP003820.1	NC_026745.1	4.400998	0.1227567	2288	1.7761236	Neoformans
Supercontig_3.1	115496	115545	50	-	XP_012046162.1	alcohol dehydrogenase	CP003820.1	NC_026745.1	2.262901	0.02805412	2288	1.7761236	Neoformans
Supercontig_3.1	126935	128651	1717	-	XP_012046164.1	hypothetical protein CNAG_07308	CP003820.1	NC_026745.1	4.68814	0.02667708	2288	1.7761236	Neoformans
Supercontig_3.1	130356	131511	1156	-	XP_012046483.1	hypothetical protein CNAG_00043	CP003820.1	NC_026745.1	1.838105	0.4005266	2288	1.7761236	Neoformans
Supercontig_3.1	131511	132334	824	-	XP_012046483.1	hypothetical protein CNAG_00043	CP003820.1	NC_026745.1	7.892688	0.02038837	2288	1.7761236	Neoformans
Supercontig_3.1	132596	133799	1204	+	XP_012046485.1	ribosome assembly protein 1	CP003820.1	NC_026745.1	7.892688	0.02038837	2288	1.7761236	Neoformans
Supercontig_3.1	136087	136282	196	+	XP_012046485.1	ribosome assembly protein 1	CP003820.1	NC_026745.1	6.093366	0.008192885	2288	1.7761236	Neoformans
Supercontig_3.1	136430	137824	1395	-	XP_012046486.1	hypothetical protein CNAG_00045	CP003820.1	NC_026745.1	6.093366	0.008192885	2288	1.7761236	Neoformans
