"RefSeq.Accn","X.Replicon.Name","Start","Stop","Strand","GeneID","Locus","Locus.tag","Protein.product","Length","Protein.name","X..Sequence.Name","Sequence.Role","Assigned.Molecule","Assigned.Molecule.Location.Type","GenBank.Accn","Relationship","Assembly.Unit","Sequence.Length","UCSC.style.name","SeqName","SeqName2a"
"NC_018792.1","MT",20,2196,"+",13824787,"-","CNAG_09000","YP_006883707.1",356,"NADH dehydrogenase subunit 1 (mitochondrion)","MT","assembled-molecule","MT","Mitochondrion","CP003834.1","=","non-nuclear",24919,"na","MT","Supercontig_3.MT"
"NC_018792.1","MT",725,1291,"+",13824763,"-","CNAG_09001","YP_006883708.1",188,"hypothetical protein CNAG_09001 (mitochondrion)","MT","assembled-molecule","MT","Mitochondrion","CP003834.1","=","non-nuclear",24919,"na","MT","Supercontig_3.MT"
"NC_018792.1","MT",2380,4679,"+",13824765,"-","CNAG_09002","YP_006883709.1",413,"apocytochrome b (mitochondrion)","MT","assembled-molecule","MT","Mitochondrion","CP003834.1","=","non-nuclear",24919,"na","MT","Supercontig_3.MT"
"NC_018792.1","MT",5482,6189,"+",13824769,"-","CNAG_09003","YP_006883710.1",235,"small ribosomal protein subunit 3 (mitochondrion)","MT","assembled-molecule","MT","Mitochondrion","CP003834.1","=","non-nuclear",24919,"na","MT","Supercontig_3.MT"
"NC_018792.1","MT",9654,10493,"+",13824771,"-","CNAG_09004","YP_006883711.1",279,"cytochrome c oxidase subunit III (mitochondrion)","MT","assembled-molecule","MT","Mitochondrion","CP003834.1","=","non-nuclear",24919,"na","MT","Supercontig_3.MT"
"NC_018792.1","MT",10721,12172,"+",13824772,"-","CNAG_09005","YP_006883712.1",483,"NADH:ubiquinone oxidoreductase subunit 4 (mitochondrion)","MT","assembled-molecule","MT","Mitochondrion","CP003834.1","=","non-nuclear",24919,"na","MT","Supercontig_3.MT"
"NC_018792.1","MT",12742,14730,"+",13824773,"-","CNAG_09006","YP_006883713.1",662,"NADH:ubiquinone oxidoreductase subunit 5 (mitochondrion)","MT","assembled-molecule","MT","Mitochondrion","CP003834.1","=","non-nuclear",24919,"na","MT","Supercontig_3.MT"
"NC_018792.1","MT",15069,15677,"+",13824776,"-","CNAG_09007","YP_006883714.1",202,"NADH dehydrogenase subunit 6 (mitochondrion)","MT","assembled-molecule","MT","Mitochondrion","CP003834.1","=","non-nuclear",24919,"na","MT","Supercontig_3.MT"
"NC_018792.1","MT",18327,19160,"+",13824782,"-","CNAG_09008","YP_006883715.1",277,"ATP synthase subunit 6 (mitochondrion)","MT","assembled-molecule","MT","Mitochondrion","CP003834.1","=","non-nuclear",24919,"na","MT","Supercontig_3.MT"
"NC_018792.1","MT",19670,21256,"+",13824783,"-","CNAG_09009","YP_006883716.1",528,"cytochrome c oxidase subunit I (mitochondrion)","MT","assembled-molecule","MT","Mitochondrion","CP003834.1","=","non-nuclear",24919,"na","MT","Supercontig_3.MT"
"NC_018792.1","MT",21963,23462,"+",13824786,"-","CNAG_09010","YP_006883717.1",499,"NADH dehydrogenase subunit 2 (mitochondrion)","MT","assembled-molecule","MT","Mitochondrion","CP003834.1","=","non-nuclear",24919,"na","MT","Supercontig_3.MT"
"NC_018792.1","MT",23462,23842,"+",13824788,"-","CNAG_09011","YP_006883718.1",126,"NADH dehydrogenase subunit 3 (mitochondrion)","MT","assembled-molecule","MT","Mitochondrion","CP003834.1","=","non-nuclear",24919,"na","MT","Supercontig_3.MT"
"NC_018792.1","MT",24096,24851,"+",13824789,"-","CNAG_09012","YP_006883719.1",251,"cytochrome c oxidase subunit II (mitochondrion)","MT","assembled-molecule","MT","Mitochondrion","CP003834.1","=","non-nuclear",24919,"na","MT","Supercontig_3.MT"
"NC_026745.1","1",168,5645,"-",23887952,"-","CNAG_04548","XP_012046141.1",1659,"hypothetical protein CNAG_04548","1","assembled-molecule","1","Chromosome","CP003820.1","=","Primary Assembly",2291499,"na","1","Supercontig_3.1"
"NC_026745.1","1",6209,7769,"-",23890160,"-","CNAG_07303","XP_012047013.1",500,"hypothetical protein, variant","1","assembled-molecule","1","Chromosome","CP003820.1","=","Primary Assembly",2291499,"na","1","Supercontig_3.1"
"NC_026745.1","1",6209,7769,"-",23890160,"-","CNAG_07303","XP_012047012.1",500,"hypothetical protein CNAG_07303","1","assembled-molecule","1","Chromosome","CP003820.1","=","Primary Assembly",2291499,"na","1","Supercontig_3.1"
"NC_026745.1","1",9126,9480,"-",23890161,"-","CNAG_07304","XP_012046142.1",96,"hypothetical protein CNAG_07304","1","assembled-molecule","1","Chromosome","CP003820.1","=","Primary Assembly",2291499,"na","1","Supercontig_3.1"
"NC_026745.1","1",11060,11501,"-",23883873,"-","CNAG_00001","XP_012046143.1",108,"hypothetical protein CNAG_00001","1","assembled-molecule","1","Chromosome","CP003820.1","=","Primary Assembly",2291499,"na","1","Supercontig_3.1"
"NC_026745.1","1",11838,12393,"-",23890162,"-","CNAG_07305","XP_012046144.1",161,"hypothetical protein CNAG_07305","1","assembled-molecule","1","Chromosome","CP003820.1","=","Primary Assembly",2291499,"na","1","Supercontig_3.1"
"NC_026745.1","1",12800,13578,"+",23883874,"-","CNAG_00002","XP_012046145.1",174,"hypothetical protein CNAG_00002","1","assembled-molecule","1","Chromosome","CP003820.1","=","Primary Assembly",2291499,"na","1","Supercontig_3.1"
"NC_026745.1","1",14115,16370,"-",23883875,"-","CNAG_00003","XP_012046455.1",536,"drug transporter","1","assembled-molecule","1","Chromosome","CP003820.1","=","Primary Assembly",2291499,"na","1","Supercontig_3.1"
"NC_026745.1","1",16736,19388,"-",23883876,"-","CNAG_00004","XP_012046456.1",687,"hypothetical protein CNAG_00004","1","assembled-molecule","1","Chromosome","CP003820.1","=","Primary Assembly",2291499,"na","1","Supercontig_3.1"
"NC_026745.1","1",20906,22642,"-",23883877,"-","CNAG_00005","XP_012046146.1",578,"TPR repeat-containing protein","1","assembled-molecule","1","Chromosome","CP003820.1","=","Primary Assembly",2291499,"na","1","Supercontig_3.1"
"NC_026745.1","1",24790,26105,"-",23883878,"-","CNAG_00006","XP_012046457.1",318,"prohibitin-2","1","assembled-molecule","1","Chromosome","CP003820.1","=","Primary Assembly",2291499,"na","1","Supercontig_3.1"
"NC_026745.1","1",26374,28447,"+",23883879,"-","CNAG_00007","XP_012046458.1",582,"methionine-tRNA ligase","1","assembled-molecule","1","Chromosome","CP003820.1","=","Primary Assembly",2291499,"na","1","Supercontig_3.1"
"NC_026745.1","1",28619,32831,"-",23883880,"-","CNAG_00008","XP_012046147.1",1169,"hypothetical protein CNAG_00008","1","assembled-molecule","1","Chromosome","CP003820.1","=","Primary Assembly",2291499,"na","1","Supercontig_3.1"
"NC_026745.1","1",33159,34577,"+",23883881,"-","CNAG_00009","XP_012046148.1",365,"calcium-binding protein","1","assembled-molecule","1","Chromosome","CP003820.1","=","Primary Assembly",2291499,"na","1","Supercontig_3.1"
"NC_026745.1","1",36020,39419,"-",23883882,"-","CNAG_00010","XP_012046149.1",989,"cation transporter","1","assembled-molecule","1","Chromosome","CP003820.1","=","Primary Assembly",2291499,"na","1","Supercontig_3.1"
"NC_026745.1","1",40321,42079,"+",23883883,"-","CNAG_00011","XP_012046459.1",320,"hypothetical protein CNAG_00011","1","assembled-molecule","1","Chromosome","CP003820.1","=","Primary Assembly",2291499,"na","1","Supercontig_3.1"
"NC_026745.1","1",43365,44818,"+",23883884,"-","CNAG_00012","XP_012046460.1",386,"hypothetical protein CNAG_00012","1","assembled-molecule","1","Chromosome","CP003820.1","=","Primary Assembly",2291499,"na","1","Supercontig_3.1"
"NC_026745.1","1",45340,46007,"-",23883885,"-","CNAG_00013","XP_012046462.1",204,"hypothetical protein, variant 1","1","assembled-molecule","1","Chromosome","CP003820.1","=","Primary Assembly",2291499,"na","1","Supercontig_3.1"
"NC_026745.1","1",45340,46007,"-",23883885,"-","CNAG_00013","XP_012046461.1",204,"hypothetical protein CNAG_00013","1","assembled-molecule","1","Chromosome","CP003820.1","=","Primary Assembly",2291499,"na","1","Supercontig_3.1"
