seqnames	start	end	width	strand	Protein.product	Protein.name	GenBank.Accn	RefSeq.Accn	CLR	alpha	CLR_window_size	highest_CLR	species
Supercontig_2.1	46391	46909	519	+	EEH10546.1	predicted protein	GG663363.1	na	42.62595	0.0007028416	3776	2.3950182	histoplasmaG186ar
Supercontig_2.1	151764	152671	908	-	EEH10547.1	WW domain-containing protein	GG663363.1	na	132.4381	0.001439226	3777	2.3950182	histoplasmaG186ar
Supercontig_2.1	202611	205470	2860	+	EEH10564.1	fungal specific transcription factor domain-containing protein	GG663363.1	na	7.808508	0.2119103	3776	2.3950182	histoplasmaG186ar
Supercontig_2.1	364718	366722	2005	-	EEH10622.1	ribosomal RNA-processing protein	GG663363.1	na	5.624241	0.1834994	3776	2.3950182	histoplasmaG186ar
Supercontig_2.1	367295	367935	641	+	EEH10623.1	proteasome component C11	GG663363.1	na	5.624241	0.1834994	3776	2.3950182	histoplasmaG186ar
Supercontig_2.1	470457	471366	910	-	EEH10656.1	60S ribosomal protein L11	GG663363.1	na	5.786763	0.3019156	3777	2.3950182	histoplasmaG186ar
Supercontig_2.1	886719	887954	1236	-	EEH10809.1	TLD domain-containing protein	GG663363.1	na	7.069448	0.9683575	3777	2.3950182	histoplasmaG186ar
Supercontig_2.1	888442	889106	665	-	EEH10810.1	AP-1 complex subunit beta-1	GG663363.1	na	7.069448	0.9683575	3777	2.3950182	histoplasmaG186ar
Supercontig_2.1	978009	979147	1139	-	EEH10841.1	alcohol dehydrogenase	GG663363.1	na	7.444925	0.3003142	3777	2.3950182	histoplasmaG186ar
Supercontig_2.1	979614	979744	131	-	EEH10842.1	HET domain-containing protein	GG663363.1	na	7.444925	0.3003142	3777	2.3950182	histoplasmaG186ar
Supercontig_2.1	1041884	1043492	1609	-	EEH10863.1	RNA-binding protein	GG663363.1	na	3.712157	0.06781287	3777	2.3950182	histoplasmaG186ar
Supercontig_2.1	1072060	1072713	654	-	EEH10874.1	40S ribosomal protein S24	GG663363.1	na	3.962154	0.09067155	3776	2.3950182	histoplasmaG186ar
Supercontig_2.1	1153466	1154629	1164	-	EEH10903.1	DUF1716 domain-containing protein	GG663363.1	na	2.558385	0.741	3776	2.3950182	histoplasmaG186ar
Supercontig_2.1	1155018	1155532	515	+	EEH10904.1	hypothetical protein HCBG_00359	GG663363.1	na	2.558385	0.741	3776	2.3950182	histoplasmaG186ar
Supercontig_2.1	1156214	1157202	989	-	EEH10905.1	short-chain dehydrogenase/reductase	GG663363.1	na	2.558385	0.741	3776	2.3950182	histoplasmaG186ar
Supercontig_2.1	1252395	1255435	3041	-	EEH10936.1	transmembrane protein	GG663363.1	na	3.856282	33.92801	3777	2.3950182	histoplasmaG186ar
Supercontig_2.1	1331709	1333734	2026	-	EEH10965.1	epsin N-terminal homology-containing protein	GG663363.1	na	2.822236	0.01866958	3777	2.3950182	histoplasmaG186ar
Supercontig_2.1	1334279	1334743	465	-	EEH10966.1	purine cytosine permease Fcy2	GG663363.1	na	2.822236	0.01866958	3777	2.3950182	histoplasmaG186ar
